q10_results.state,q10_results.avg_dep_delay,q10_results.flight_count
West Virginia,22.95374721741281,4043
U.S. Virgin Islands,19.813241255066806,6661
Puerto Rico,17.92634516574946,38341
North Carolina,16.665597609433465,310554
Texas,16.239857622402184,740285
Florida,15.85317421120386,617555
Wyoming,15.419420094403236,11864
Maryland,15.409450751764345,97770
Illinois,14.75293441547528,368898
Iowa,14.63376894091237,24946
Louisiana,14.227008357878683,66883
New Jersey,13.944876162768441,130615
Colorado,13.48625242106737,342824
Pennsylvania,13.337026569410735,155329
North Dakota,13.326493261605014,18031
Maine,12.764782934131736,16032
Nevada,12.631832312268584,208769
Connecticut,12.309226366238132,22013
South Dakota,12.289430641015656,12839
Massachusetts,12.152713821997434,145717
