q7_results.scheduled_dep_hour,q7_results.avg_dep_delay,q7_results.total_flights
0,15.519080194510838,12133
1,14.654940119760479,4008
2,11.311551155115511,1515
3,9.840972871842844,1069
4,16.546489563567363,527
5,5.184420711646505,197570
6,4.012741915358007,488859
7,4.915185412825241,488100
8,5.8123940817767235,477373
9,7.2120234012507565,391603
10,8.692152857333463,434706
11,9.910065399503678,437618
12,11.455687940597732,415203
13,12.918527332372836,418533
14,14.583383139587006,401556
15,15.885922541070121,402665
16,17.315141657037724,403298
17,18.022344182342078,436937
18,19.832197808105196,427849
19,20.77119878245582,381095
20,21.345994468498322,312031
21,20.41499668961578,231091
22,19.852344343902498,163116
23,15.426155580608794,57655
24,1.0,1
